Date,series,OPEN,HIGH,LOW,PREV_CLOSE,LTP,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades
17-Sep-20,EQ,794.95,817.5,789.5,789.25,806.3,808.3,807.67,"1,170.00",375.25,19972987,"16,13,16,26,946.25",266753
18-Sep-20,EQ,808.3,824,804,808.3,810,810.6,814.69,"1,170.00",375.25,8847758,"7,20,82,01,598.45",134982
21-Sep-20,EQ,823,849.9,793.45,810.6,801.15,802.6,830.79,"1,170.00",375.25,24911675,"20,69,62,85,172.90",403669
22-Sep-20,EQ,813.95,831.5,790.55,802.6,825.8,821,815.42,"1,170.00",375.25,21882919,"17,84,37,64,685.35",399486
23-Sep-20,EQ,832,844.8,810.15,821,815,814.1,827.51,"1,170.00",375.25,18070371,"14,95,34,62,393.55",280008
24-Sep-20,EQ,811,811.45,784,814.1,788,788.3,797.32,"1,170.00",375.25,10553632,"8,41,45,80,211.60",165353
25-Sep-20,EQ,795.25,836,792.6,788.3,830.1,827.7,821.94,"1,170.00",375.25,19813372,"16,28,53,68,271.70",337042
28-Sep-20,EQ,838.4,844.75,820.8,827.7,834,835.25,835.22,"1,170.00",375.25,11146342,"9,30,96,66,828.50",180648
29-Sep-20,EQ,837.4,841.1,810.2,835.25,815.35,812.75,825.53,"1,170.00",375.25,10554255,"8,71,28,07,901.35",173071
30-Sep-20,EQ,818,820.5,807.1,812.75,810,811.6,812.95,"1,170.00",375.25,9470277,"7,69,88,57,123.65",173273
01-Oct-20,EQ,819.9,820.95,811.2,811.6,813.7,812.95,815.73,"1,170.00",375.25,4321350,"3,52,50,35,142.45",85705
05-Oct-20,EQ,828.8,839.2,815.1,812.95,823.3,824.2,826.77,"1,170.00",375.25,11890211,"9,83,04,83,480.50",174768
06-Oct-20,EQ,830,834.5,822.7,824.2,828,829.15,828.17,"1,170.00",375.25,7848520,"6,49,99,12,047.05",121003
07-Oct-20,EQ,830,830.6,823,829.15,829.9,828.05,826.72,"1,170.00",375.25,6980002,"5,77,05,34,151.20",118532
08-Oct-20,EQ,857.5,879,844.5,828.05,849.5,849.55,862.06,"1,170.00",375.25,25860578,"22,29,32,63,288.10",347607
09-Oct-20,EQ,852.9,862.5,849.3,849.55,857,855.75,856.14,"1,170.00",375.25,7286954,"6,23,86,55,498.20",116290
12-Oct-20,EQ,860.8,871.95,857.15,855.75,866.2,865.8,864.97,"1,170.00",375.25,8717565,"7,54,04,51,283.15",117629
13-Oct-20,EQ,866.3,906.6,863.3,865.8,900.9,900.4,892.77,"1,170.00",375.25,18948688,"16,91,68,14,839.50",230425
14-Oct-20,EQ,904,910.7,882,900.4,887,890.45,893.4,"1,170.00",375.25,15441223,"13,79,52,33,299.15",191846
15-Oct-20,EQ,899.95,903.7,833.45,890.45,863.45,860,864,"1,170.00",375.25,15648849,"13,52,06,50,712.00",233161
16-Oct-20,EQ,859,877,820.6,860,830.05,827.15,836.13,"1,170.00",375.25,28983265,"24,23,37,58,849.90",413675
19-Oct-20,EQ,839.8,861.7,833,827.15,846.95,844.75,848.3,"1,170.00",375.25,15671737,"13,29,42,74,079.85",258268
20-Oct-20,EQ,846.95,886,843.6,844.75,881,879.65,875.71,"1,170.00",375.25,21564064,"18,88,38,32,254.25",291297
21-Oct-20,EQ,881,891.65,860,879.65,866,871.05,874.89,"1,170.00",375.25,11162084,"9,76,56,38,802.00",155501
22-Oct-20,EQ,858.9,878,851.55,871.05,866,866.25,866.76,"1,170.00",375.25,9607800,"8,32,76,20,040.70",168926
23-Oct-20,EQ,871,875.45,850.6,866.25,852.5,852.45,860.3,"1,170.00",375.25,5447502,"4,68,64,96,350.10",115601
26-Oct-20,EQ,853,860.9,842.05,852.45,847.45,847.8,852.83,"1,170.00",375.25,6614014,"5,64,06,36,211.15",120624
27-Oct-20,EQ,848.95,857.45,838.7,847.8,850,847.25,846.32,"1,170.00",375.25,5807905,"4,91,53,24,316.85",109755
28-Oct-20,EQ,852,852,821.6,847.25,829.9,829.6,833.36,"1,170.00",375.25,6853043,"5,71,10,54,678.00",139980
29-Oct-20,EQ,825,842.5,818.95,829.6,836.4,840.05,833.08,"1,170.00",375.25,6691023,"5,57,41,54,054.95",116800
30-Oct-20,EQ,842.8,859.7,833,840.05,844.75,841.95,846.09,"1,170.00",375.25,8727295,"7,38,40,43,618.60",134890
02-Nov-20,EQ,841.95,843.85,819.2,841.95,822.15,822.4,825.74,"1,166.30",375.25,5953172,"4,91,57,97,446.60",111715
03-Nov-20,EQ,828,832,812.35,822.4,813.5,814.05,821.95,"1,166.30",375.25,7011687,"5,76,32,48,341.75",140829
04-Nov-20,EQ,812.2,841.75,810.6,814.05,817.95,815.15,824.78,"1,166.30",375.25,10077502,"8,31,17,30,455.30",206966
05-Nov-20,EQ,834,851.1,830.05,815.15,845,842.9,841.02,"1,166.30",375.25,8903859,"7,48,82,98,537.70",156095
06-Nov-20,EQ,846,855.8,836.4,842.9,854.8,850.1,843.11,"1,166.30",375.25,5871913,"4,95,06,63,909.40",113621
09-Nov-20,EQ,866.8,872.8,847.1,850.1,858.95,855,856.87,"1,159.80",375.25,7505062,"6,43,08,73,335.15",141970
10-Nov-20,EQ,848.5,848.5,805.75,855,812.15,809.7,819.11,"1,159.80",375.25,10397497,"8,51,66,93,853.30",230164
11-Nov-20,EQ,813,829,805.35,809.7,827,826.05,816.15,"1,159.80",375.25,9779484,"7,98,15,04,358.40",209931
12-Nov-20,EQ,827.15,837,822,826.05,824.8,824.7,827.32,"1,159.80",375.25,4699639,"3,88,81,03,545.35",143412
13-Nov-20,EQ,822.9,831.45,818.15,824.7,827.85,828.1,826.38,"1,159.80",375.25,3918289,"3,23,80,10,484.85",67486
14-Nov-20,EQ,834,834,829,828.1,830.5,830.5,831.16,"1,159.80",375.25,475390,"39,51,26,484.60",16338
17-Nov-20,EQ,837.95,837.95,814,830.5,816.2,815,818.56,"1,149.70",375.25,5977903,"4,89,32,92,336.45",121111
18-Nov-20,EQ,819,819.9,800.25,815,814,814.3,808.06,"1,149.70",375.25,5816221,"4,69,98,36,405.30",132705
19-Nov-20,EQ,815,820.45,803,814.3,804.6,804.55,811.27,"1,149.70",375.25,7170339,"5,81,71,14,544.55",121823
20-Nov-20,EQ,813.95,823.5,804,804.55,820,819.25,816.68,"1,149.70",375.25,7455575,"6,08,88,10,391.30",123101
23-Nov-20,EQ,825,842,816.25,819.25,838.5,839.2,832.35,"1,143.40",375.25,7116516,"5,92,34,58,911.95",139507
24-Nov-20,EQ,843.9,857.4,835.35,839.2,841,840.5,847.95,"1,143.40",375.25,8465615,"7,17,84,05,737.30",169850
25-Nov-20,EQ,840.5,846,822.5,840.5,825,824.7,829.08,"1,143.40",375.25,5610232,"4,65,13,24,787.35",124023
26-Nov-20,EQ,824.1,845,819.6,824.7,841.2,842.05,834.43,"1,143.40",375.25,8414555,"7,02,13,83,073.75",138751
27-Nov-20,EQ,842,847.8,814.35,842.05,823.15,822.1,827.29,"1,143.40",375.25,11723771,"9,69,89,26,529.75",154427
01-Dec-20,EQ,824,835.7,815.1,822.1,835,834.1,825.89,"1,139.00",375.25,8078785,"6,67,22,27,499.75",170411
02-Dec-20,EQ,836.15,847.45,831.3,834.1,844,843.15,839.26,"1,139.00",375.25,7062229,"5,92,70,67,927.40",174376
03-Dec-20,EQ,848.5,864,843.3,843.15,862.05,862.2,857.58,"1,139.00",375.25,9633229,"8,26,12,41,361.20",149310
04-Dec-20,EQ,866,867.85,854.45,862.2,858,858.5,860.55,"1,139.00",375.25,5577388,"4,79,96,41,241.40",147987
07-Dec-20,EQ,858,859.95,850.4,858.5,855,855.3,854.22,910.7,375.25,5314265,"4,53,95,60,113.05",83690
08-Dec-20,EQ,859,875.7,856,855.3,863.2,863.8,865.6,910.7,375.25,8722526,"7,55,02,38,411.20",190746
09-Dec-20,EQ,866.1,880,864.1,863.8,871.35,870.55,874.48,910.7,375.25,5952003,"5,20,48,89,086.50",122920
10-Dec-20,EQ,870.55,877.8,865,870.55,869.5,866.75,869.9,910.7,375.25,4641898,"4,03,79,96,033.80",98691
11-Dec-20,EQ,871,881.8,855.2,866.75,865.15,862.25,867.59,910.7,375.25,5637035,"4,89,06,08,092.65",123619
14-Dec-20,EQ,866.1,875.65,858.1,862.25,873.7,873,866.62,910.7,375.25,5143894,"4,45,78,09,158.10",114180
15-Dec-20,EQ,874.7,889,870,873,885.1,886,883.14,910.7,375.25,7527270,"6,64,76,42,107.80",144698
16-Dec-20,EQ,886.25,892,878.45,886,882,885.05,883.95,910.7,375.25,4378179,"3,87,00,92,023.85",105667
17-Dec-20,EQ,887,887,877,885.05,878,879.35,882.14,910.7,375.25,4863371,"4,29,01,69,955.00",133920
18-Dec-20,EQ,894.75,905,886.65,879.35,890.35,890.65,897.36,910.7,375.25,11568187,"10,38,07,82,845.00",196000
21-Dec-20,EQ,886.65,910.5,850,890.65,872,870.45,892.43,910.7,375.25,8875855,"7,92,10,82,596.25",201257
22-Dec-20,EQ,879.15,919.25,872,870.45,917,913.8,892.93,919.25,375.25,10251896,"9,15,41,86,077.65",196248
23-Dec-20,EQ,920,935,914.8,913.8,921.9,922.6,925.27,935,375.25,10723068,"9,92,17,35,580.65",176400
24-Dec-20,EQ,927.95,928.25,910.7,922.6,917,919.35,919.19,935,375.25,4390561,"4,03,57,68,678.40",85401
28-Dec-20,EQ,925,927.5,913.5,919.35,922.7,921.8,921.16,935,375.25,3884750,"3,57,84,79,998.20",88769
29-Dec-20,EQ,929,945,925.25,921.8,936,935.9,936.61,945,375.25,6760167,"6,33,16,37,870.85",121535
30-Dec-20,EQ,938,950,931,935.9,941.15,940.7,940.88,950,375.25,6382809,"6,00,54,37,042.05",129019
31-Dec-20,EQ,939.05,949.85,935,940.7,946.4,946.15,942.19,950,375.25,3468390,"3,26,78,89,419.30",63219
01-Jan-21,EQ,942,955.5,942,946.15,950.25,950.5,950.65,955.5,375.25,3142822,"2,98,77,12,518.10",52922
04-Jan-21,EQ,959,984.7,952.65,950.5,978.3,980.4,968.71,984.7,375.25,5259092,"5,09,45,23,210.90",96212
05-Jan-21,EQ,967.2,995.8,967.2,980.4,992.5,991.35,985.02,995.8,375.25,7150252,"7,04,31,70,176.50",121058
06-Jan-21,EQ,997.9,998,966.1,991.35,976,978.2,984.98,998,375.25,5995748,"5,90,56,68,068.15",142578
07-Jan-21,EQ,988,988.2,959.4,978.2,963.9,962.55,969.71,998,375.25,5261000,"5,10,16,42,454.65",104038
08-Jan-21,EQ,974.9,"1,003.50",970,962.55,994.15,994.65,986.68,"1,003.50",375.25,8034775,"7,92,77,36,978.75",112810
11-Jan-21,EQ,"1,015.00","1,059.05","1,008.00",994.65,"1,053.25","1,055.10","1,033.95","1,059.05",375.25,13384331,"13,83,87,51,594.30",259727
12-Jan-21,EQ,"1,052.00","1,065.05","1,038.70","1,055.10","1,064.00","1,062.10","1,049.24","1,065.05",375.25,6700542,"7,03,05,02,202.05",183794
13-Jan-21,EQ,"1,064.00","1,067.00","1,041.00","1,062.10","1,057.00","1,055.95","1,054.37","1,067.00",375.25,6691409,"7,05,52,44,429.80",139957
14-Jan-21,EQ,"1,049.00","1,049.00","1,006.60","1,055.95","1,031.00","1,027.70","1,026.49","1,067.00",375.25,15021108,"15,41,90,88,647.25",349280
